id,legacy_id,name,type,sub_type,neighborhood,city,state,country,lat,lon,image,description,source,curation_status,notes
LC-0025,CH-0025,Avenida 17 de Agosto,Local,Logradouro,Casa Forte,Recife,Pernambuco,Brasil,,,,"Avenida 17 de Agosto é um logradouro do município do Recife, Pernambuco. É a principal via do bairro de Casa Forte, além de fazer parte de seu percurso os bairros de Parnamirim, Santana, Poço da Panela e Monteiro. Por ela circulam cerca de 1.900 veículos por hora em horário de pico, de acordo com a Companhia de Trânsito e Transporte Urbano (CTTU). Trata-se de uma homenagem indireta à Batalha de Casa Forte[1], travada entre os luso-brasileiros e os holandeses nessa mesma data[2]. A avenida toma o lugar da antiga estrada de ferro Maxambomba que terminava no bairro de Dois Irmãos.",https://antonioaurel.github.io/data/data-visualization/recife-history-connections/pages/sources.html,validated,Consolidado com conexões originais da Base Ajustada e similares da pesquisa IA para Pernambuco; limitado às 15 primeiras conexões únicas por compatibilidade com a base funcional.
LC-0378,CH-0378,Avenida Abdias de Carvalho,Local,Logradouro,Cordeiro,Recife,Pernambuco,Brasil,,,,"Avenida Abdias de Carvalho é um logradouro localizado em Cordeiro, no Recife/Pernambuco. Como via urbana, ajuda a compreender a circulação, a ocupação dos bairros e a permanência de homenagens na paisagem da cidade. aparece associado a Augusto Lucena e Abdias de Carvalho, indicando sua função como ponto de ligação entre território, memória e vida cotidiana. o registro permite observar como nomes de ruas e avenidas conectam personagens, instituições, eventos e transformações do Recife ao longo do tempo.",https://antonioaurel.github.io/data/data-visualization/recife-history-connections/pages/sources.html,validated,Consolidado com conexões originais da Base Ajustada e similares da pesquisa IA para Pernambuco; limitado às 15 primeiras conexões únicas por compatibilidade com a base funcional.
LC-0026,CH-0026,Avenida Agamenon Magalhães,Local,Logradouro,Boa Vista,Recife,Pernambuco,Brasil,,,,"Liga Olinda a Zona Sul do Recife e se extende por 5,5 km, cortando nove bairros. Por dia, cerca de 90 mil veículos trafegam pela via. Leva o nome ex-governador de Pernambuco, que teve em sua época grande destaque nacional",https://antonioaurel.github.io/data/data-visualization/recife-history-connections/pages/sources.html,validated,Consolidado com conexões originais da Base Ajustada e similares da pesquisa IA para Pernambuco; limitado às 15 primeiras conexões únicas por compatibilidade com a base funcional.
LC-0313,CH-0313,Avenida Alfredo Lisboa,Local,Logradouro,Recife Antigo,Recife,Pernambuco,Brasil,,,,"Avenida Alfredo Lisboa é um logradouro localizado em Recife Antigo, no Recife/Pernambuco. Como via urbana, ajuda a compreender a circulação, a ocupação dos bairros e a permanência de homenagens na paisagem da cidade. aparece associado a Alfredo Lisboa, Igreja do Pilar, Porto do Recife, Estação do Brum e Torre Malakoff, indicando sua função como ponto de ligação entre território, memória e vida cotidiana. o registro permite observar como nomes de ruas e avenidas conectam personagens, instituições, eventos e transformações do Recife ao longo do tempo.",https://antonioaurel.github.io/data/data-visualization/recife-history-connections/pages/sources.html,validated,Consolidado com conexões originais da Base Ajustada e similares da pesquisa IA para Pernambuco; limitado às 15 primeiras conexões únicas por compatibilidade com a base funcional.
LC-0027,CH-0027,Avenida Barão de Souza Leão,Local,Logradouro,Boa Viagem,Recife,Pernambuco,Brasil,,,,"Liga a Avenida Domingos Ferreira a Avenida Marechal Mascarenhas de Morais, ligando Boa Viagem a Imbiribeira, e se extende por 1,5 km, Por dia, cerca de 20 mil veículos trafegam pela via. Leva o nome de Inácio Joaquim de Sousa Leão, o Barão de Souza Leão.",https://antonioaurel.github.io/data/data-visualization/recife-history-connections/pages/sources.html,validated,Consolidado com conexões originais da Base Ajustada e similares da pesquisa IA para Pernambuco; limitado às 15 primeiras conexões únicas por compatibilidade com a base funcional.
LC-0028,CH-0028,Avenida Barbosa Lima,Local,Logradouro,Recife Antigo,Recife,Pernambuco,Brasil,,,http://static.panoramio.com/photos/large/5181528.jpg,"Antiga passagem de bondes que liga o Cais do Apolo a Praça do Marco Zero. Tem 800 m de extensão e leva o nome do politico abolicionista e ex-governador de Pernambuco, Alexandre José Barbosa Lima",https://antonioaurel.github.io/data/data-visualization/recife-history-connections/pages/sources.html,validated,Consolidado com conexões originais da Base Ajustada e similares da pesquisa IA para Pernambuco; limitado às 15 primeiras conexões únicas por compatibilidade com a base funcional.
LC-0029,CH-0029,Avenida Boa Viagem,Local,Logradouro,Boa Viagem,Recife,Pernambuco,Brasil,,,http://www.joaoalberto.com/wp-content/uploads/2013/06/25/avenida-boa-viagem.jpg,"Avenida Boa Viagem é um logradouro do município do Recife, Pernambuco. Trata-se de uma das avenidas mais importantes da capital pernambucana. Fazem parte de seu percurso os bairros de Boa Viagem e do Pina. Percorre todo o litoral na praia de Boa Viagem. Inicia-se na avenida Herculano Bandeira e termina na divisa do Recife com o município de Jaboatão dos Guararapes.",https://antonioaurel.github.io/data/data-visualization/recife-history-connections/pages/sources.html,validated,Consolidado com conexões originais da Base Ajustada e similares da pesquisa IA para Pernambuco; limitado às 15 primeiras conexões únicas por compatibilidade com a base funcional.
LC-0030,CH-0030,Avenida Caxangá,Local,Logradouro,Madalena,Recife,Pernambuco,Brasil,,,,"A avenida Caxangá é uma das mais importantes vias arteriais da cidade do Recife, capital estado de Pernambuco, Brasil. É a segunda mais longa avenida em linha reta do Brasil, apresentando percurso totalmente reto de aproximadamente 6,2 km. Foi superada com a construção da Avenida Teotônio Segurado na capital do Tocantins, Palmas, que possui um trecho de 10,2 km em linha reta num total de 19,7 km de extensão[1]. Contudo, a avenida Caxangá continua sendo a mais longa avenida cuja extensão total se desenvolve numa linha reta.",https://antonioaurel.github.io/data/data-visualization/recife-history-connections/pages/sources.html,validated,Consolidado com conexões originais da Base Ajustada e similares da pesquisa IA para Pernambuco; limitado às 15 primeiras conexões únicas por compatibilidade com a base funcional.
LC-0383,CH-0383,Avenida Conde da Boa Vista,Local,Logradouro,Boa Vista,Recife,Pernambuco,Brasil,,,,"Avenida Conde da Boa Vista é um logradouro localizado em Boa Vista, no Recife/Pernambuco. Como via urbana, ajuda a compreender a circulação, a ocupação dos bairros e a permanência de homenagens na paisagem da cidade. aparece associado a Francisco do Rego Barros, Ponte Duarte Coelho e Rua da Aurora, indicando sua função como ponto de ligação entre território, memória e vida cotidiana. o registro permite observar como nomes de ruas e avenidas conectam personagens, instituições, eventos e transformações do Recife ao longo do tempo.",https://antonioaurel.github.io/data/data-visualization/recife-history-connections/pages/sources.html,validated,Consolidado com conexões originais da Base Ajustada e similares da pesquisa IA para Pernambuco; limitado às 15 primeiras conexões únicas por compatibilidade com a base funcional.
LC-0409,CH-0409,Avenida da Madre de Deus,Local,Logradouro,Recife Antigo,Recife,Pernambuco,Brasil,,,,"Avenida da Madre de Deus é um logradouro localizado em Recife Antigo, no Recife/Pernambuco. Como via urbana, ajuda a compreender a circulação, a ocupação dos bairros e a permanência de homenagens na paisagem da cidade. aparece associado a Avenida Marques de Olinda, Avenida Rio Branco, Cais da Alfandega, Paço Alfandega, Ponte Mauricio de Nassau e Marco Zero, indicando sua função como ponto de ligação entre território, memória e vida cotidiana. o registro permite observar como nomes de ruas e avenidas conectam personagens, instituições, eventos e transformações do Recife ao longo do tempo.",https://antonioaurel.github.io/data/data-visualization/recife-history-connections/pages/sources.html,validated,Consolidado com conexões originais da Base Ajustada e similares da pesquisa IA para Pernambuco; limitado às 15 primeiras conexões únicas por compatibilidade com a base funcional.
LC-0031,CH-0031,Avenida Dantas Barreto,Local,Logradouro,São José,Recife,Pernambuco,Brasil,,,,"Na década de 1970 ocorreu a maior e mais vasta ação demolidora sofrida pela cidade: a abertura da Avenida Dantas Barreto (1971-1973), quando centenas de sobrados coloniais foram eliminados e, para permitir a conclusão da obra, que tem 3km de extensão, grande comércio, um grande camelodromo e diversas paradas de ónibus. Leva o nome do General Dantas Barreto",https://antonioaurel.github.io/data/data-visualization/recife-history-connections/pages/sources.html,validated,Consolidado com conexões originais da Base Ajustada e similares da pesquisa IA para Pernambuco; limitado às 15 primeiras conexões únicas por compatibilidade com a base funcional.
LC-0501,CH-0501,Avenida Dom Hélder Câmara,Local,Logradouro,Varadouro,Olinda,Pernambuco,Brasil,,,,,https://antonioaurel.github.io/data/data-visualization/recife-history-connections/pages/sources.html,missing_description,Consolidado com conexões originais da Base Ajustada e similares da pesquisa IA para Pernambuco; limitado às 15 primeiras conexões únicas por compatibilidade com a base funcional.
LC-0032,CH-0032,Avenida Domingos Ferreira,Local,Logradouro,Boa Viagem,Recife,Pernambuco,Brasil,,,,"Avenida que se extende por 5 km e cirulam 52 mil casos por dia. Leva o nome do engenheiro Domingos Ferreira foi o responsável pelo projeto do Parque 13 de Maio, da Avenida Guararapes e também da urbanização da atual área de Boa Viagem, entre as décadas de 1940 e 1960",https://antonioaurel.github.io/data/data-visualization/recife-history-connections/pages/sources.html,validated,Consolidado com conexões originais da Base Ajustada e similares da pesquisa IA para Pernambuco; limitado às 15 primeiras conexões únicas por compatibilidade com a base funcional.
LC-0033,CH-0033,Avenida Guararapes,Local,Logradouro,Santo Antônio,Recife,Pernambuco,Brasil,,,http://eucurtorecife.com.br/wp-content/uploads/2014/04/Av-guararapes.jpg,"Foi projetada no final da década de 1920 pelos engenheiros José Estelita e Domingos Ferreira e o arquiteto Nestor de Figueiredo, com a finalidade de resolver o trânsito e organizar o comércio do centro do Recife. Sua construção foi realizada na gestão do prefeito Novaes Filho em 1937, ano em que Getúlio Vargas deu um golpe de estado e instalou o Estado Novo. Sua ocupação, com os modernos edifícios na época, somente foi possível após Novaes Filho conseguir junto a diversos Institutos de Previdência, Correios, dentre outros órgãos, a construção dos mesmo. Teve, como primeiras edificações, o edifício do Cinema Trianon e o dos Correios. O transporte coletivo utilizou a nova avenida para ser ponto terminal das linhas que vinham dos subúrbios para o centro comercial, então restrito ao bairro de Santo Antonio.",https://antonioaurel.github.io/data/data-visualization/recife-history-connections/pages/sources.html,validated,Consolidado com conexões originais da Base Ajustada e similares da pesquisa IA para Pernambuco; limitado às 15 primeiras conexões únicas por compatibilidade com a base funcional.
LC-0408,CH-0408,Avenida Herculano Bandeira,Local,Logradouro,Pina,Recife,Pernambuco,Brasil,,,,"Avenida Herculano Bandeira é um logradouro localizado em Pina, no Recife/Pernambuco. Como via urbana, ajuda a compreender a circulação, a ocupação dos bairros e a permanência de homenagens na paisagem da cidade. aparece associado a Favela do Bode e Herculano Bandeira, indicando sua função como ponto de ligação entre território, memória e vida cotidiana. o registro permite observar como nomes de ruas e avenidas conectam personagens, instituições, eventos e transformações do Recife ao longo do tempo.",https://antonioaurel.github.io/data/data-visualization/recife-history-connections/pages/sources.html,validated,Consolidado com conexões originais da Base Ajustada e similares da pesquisa IA para Pernambuco; limitado às 15 primeiras conexões únicas por compatibilidade com a base funcional.
LC-0392,CH-0392,Avenida Manoel Borba,Local,Logradouro,Boa Vista,Recife,Pernambuco,Brasil,,,,"Avenida Manoel Borba é um logradouro localizado em Boa Vista, no Recife/Pernambuco. Como via urbana, ajuda a compreender a circulação, a ocupação dos bairros e a permanência de homenagens na paisagem da cidade. aparece associado a Manoel Borba, Praça Maciel Pinheiro, Hotel Central e Praça Chora Menino, indicando sua função como ponto de ligação entre território, memória e vida cotidiana. o registro permite observar como nomes de ruas e avenidas conectam personagens, instituições, eventos e transformações do Recife ao longo do tempo.",https://antonioaurel.github.io/data/data-visualization/recife-history-connections/pages/sources.html,validated,Consolidado com conexões originais da Base Ajustada e similares da pesquisa IA para Pernambuco; limitado às 15 primeiras conexões únicas por compatibilidade com a base funcional.
LC-0034,CH-0034,Avenida Marechal Mascarenhas de Morais,Local,Logradouro,Imbiribeira,Recife,Pernambuco,Brasil,,,,"A avenida Marechal Mascarenhas de Morais é uma importante via arterial do município do Recife, Pernambuco, Brasil. A avenida liga o bairro de Afogados ao município de Jaboatão dos Guararapes (bairros de Prazeres e Jardim Jordão), atravessando todo o bairro da Imbiribeira[1]. Até 1971 o logradouro era conhecido como Estrada da Imbiribeira[2], sendo seu nome atual uma homenagem ao militar João Batista Mascarenhas de Morais, comandante das tropas brasileiras durante a campanha da Itália na Segunda Guerra Mundial.",https://antonioaurel.github.io/data/data-visualization/recife-history-connections/pages/sources.html,validated,Consolidado com conexões originais da Base Ajustada e similares da pesquisa IA para Pernambuco; limitado às 15 primeiras conexões únicas por compatibilidade com a base funcional.
LC-0035,CH-0035,Avenida Mário Melo,Local,Logradouro,Boa Vista,Recife,Pernambuco,Brasil,,,http://imagens2.ne10.uol.com.br/blogsjconline/deolhonotransito//2017/10/h.jpg,"A Avenida Mário Melo liga a Rua da Aurora à Avenida Cruz Cabugá e possui extensão de 1km, ladeando o Parque 13 de Maio. Leva o nome do advogado, jornalista, historiador, geógrafo, filatelista, numismata, músico e político recifense Mário Melo.",https://antonioaurel.github.io/data/data-visualization/recife-history-connections/pages/sources.html,validated,Consolidado com conexões originais da Base Ajustada e similares da pesquisa IA para Pernambuco; limitado às 15 primeiras conexões únicas por compatibilidade com a base funcional.
LC-0036,CH-0036,Avenida Marquês de Olinda,Local,Logradouro,Recife Antigo,Recife,Pernambuco,Brasil,,,https://upload.wikimedia.org/wikipedia/commons/0/0c/Avenida_Marqu%C3%AAs_de_Olinda_nos_anos_1930_-_Recife%2C_Pernambuco%2C_Brasil.jpg,"A Avenida Marquês de Olinda liga a Praça do Marco Zero à Ponte Mauricio de Nassau e é economicamente, a via mais importante do Recife Antigo. Leva o nome do regente e primeiro-ministro do Império do Brasil, Pedro de Araújo Lima, o Marquês de Olinda.",https://antonioaurel.github.io/data/data-visualization/recife-history-connections/pages/sources.html,validated,Consolidado com conexões originais da Base Ajustada e similares da pesquisa IA para Pernambuco; limitado às 15 primeiras conexões únicas por compatibilidade com a base funcional.
LC-0397,CH-0397,Avenida Norte Miguel Arraes de Alencar,Local,Logradouro,Encruzilhada,Recife,Pernambuco,Brasil,,,,"Avenida Norte Miguel Arraes de Alencar é um logradouro localizado em Encruzilhada, no Recife/Pernambuco. Como via urbana, ajuda a compreender a circulação, a ocupação dos bairros e a permanência de homenagens na paisagem da cidade. aparece associado a Miguel Arraes e Ponte do Limoeiro, indicando sua função como ponto de ligação entre território, memória e vida cotidiana. o registro permite observar como nomes de ruas e avenidas conectam personagens, instituições, eventos e transformações do Recife ao longo do tempo.",https://antonioaurel.github.io/data/data-visualization/recife-history-connections/pages/sources.html,validated,Consolidado com conexões originais da Base Ajustada e similares da pesquisa IA para Pernambuco; limitado às 15 primeiras conexões únicas por compatibilidade com a base funcional.
LC-0377,CH-0377,Avenida Nossa Senhora do Carmo,Local,Logradouro,São José,Recife,Pernambuco,Brasil,,,,"Avenida Nossa Senhora do Carmo é um logradouro localizado em São José, no Recife/Pernambuco. Como via urbana, ajuda a compreender a circulação, a ocupação dos bairros e a permanência de homenagens na paisagem da cidade. aparece associado a Augusto Lucena e Praça do Carmo, indicando sua função como ponto de ligação entre território, memória e vida cotidiana. o registro permite observar como nomes de ruas e avenidas conectam personagens, instituições, eventos e transformações do Recife ao longo do tempo.",https://antonioaurel.github.io/data/data-visualization/recife-history-connections/pages/sources.html,validated,Consolidado com conexões originais da Base Ajustada e similares da pesquisa IA para Pernambuco; limitado às 15 primeiras conexões únicas por compatibilidade com a base funcional.
LC-0037,CH-0037,Avenida Rio Branco,Local,Logradouro,Recife Antigo,Recife,Pernambuco,Brasil,,,,"Fechada para carros, liga o Marco Zero a Ponte Buarque de Macedo.",https://antonioaurel.github.io/data/data-visualization/recife-history-connections/pages/sources.html,validated,Consolidado com conexões originais da Base Ajustada e similares da pesquisa IA para Pernambuco; limitado às 15 primeiras conexões únicas por compatibilidade com a base funcional.
LC-0386,CH-0386,Avenida Rosa e Silva,Local,Logradouro,Aflitos,Recife,Pernambuco,Brasil,,,,"Avenida Rosa e Silva é um logradouro localizado em Aflitos, no Recife/Pernambuco. Como via urbana, ajuda a compreender a circulação, a ocupação dos bairros e a permanência de homenagens na paisagem da cidade. aparece associado a Clube Nautico Capibaribe, Clube Portugues, Hospital Centenário e Hospital da Tamarineira, indicando sua função como ponto de ligação entre território, memória e vida cotidiana. o registro permite observar como nomes de ruas e avenidas conectam personagens, instituições, eventos e transformações do Recife ao longo do tempo.",https://antonioaurel.github.io/data/data-visualization/recife-history-connections/pages/sources.html,validated,Consolidado com conexões originais da Base Ajustada e similares da pesquisa IA para Pernambuco; limitado às 15 primeiras conexões únicas por compatibilidade com a base funcional.
LC-0038,CH-0038,Avenida Rui Barbosa,Local,Logradouro,Graças,Recife,Pernambuco,Brasil,,,,Liga Parnamirim a Avenida Agamenon Magalhães e possui lindos casarões. Leva o nome do diplomata Rui Barbosa,https://antonioaurel.github.io/data/data-visualization/recife-history-connections/pages/sources.html,validated,Consolidado com conexões originais da Base Ajustada e similares da pesquisa IA para Pernambuco; limitado às 15 primeiras conexões únicas por compatibilidade com a base funcional.
LC-0039,CH-0039,Avenida Visconde de Suassuna,Local,Logradouro,Boa Vista,Recife,Pernambuco,Brasil,,,,"Liga a Avenida Cruz Cabugá a Avenida Agamenon Magalhães e leve o nome de Francisco de Paula Cavalcanti de Albuquerque, militar e politico brasileiro.",https://antonioaurel.github.io/data/data-visualization/recife-history-connections/pages/sources.html,validated,Consolidado com conexões originais da Base Ajustada e similares da pesquisa IA para Pernambuco; limitado às 15 primeiras conexões únicas por compatibilidade com a base funcional.
LC-0043,CH-0043,Banco do Nordeste,Local,Instituição,Boa Vista,Recife,Pernambuco,Brasil,,,https://blog.euvoupassar.com.br/wp-content/uploads/2014/03/Banco-do-Nordeste.jpg,"O Banco do Nordeste do Brasil S.A. (BNB) é uma instituição financeira constituída na forma de sociedade de economia mista, de capital aberto, controlada pelo Governo Federal Brasileiro, tendo a União como sua acionista majoritária.[2] Sua sede é localizada na cidade de Fortaleza, estado do Ceará. É um banco múltiplo com características de um banco de desenvolvimento e tem por finalidade promover o desenvolvimento sustentável da Região Nordeste do Brasil, por meio do apoio financeiro aos agentes produtivos regionais.",https://antonioaurel.github.io/data/data-visualization/recife-history-connections/pages/sources.html,validated,Consolidado com conexões originais da Base Ajustada e similares da pesquisa IA para Pernambuco; limitado às 15 primeiras conexões únicas por compatibilidade com a base funcional.
LC-0042,CH-0042,Banhistas do Pina,Local,Agremiação Carnavalesca,Pina,Recife,Pernambuco,Brasil,,,http://jconlineimagem.ne10.uol.com.br/imagem/noticia/2017/02/02/normal/a57768c457ffb5506e85e45151aa0cd4.jpg,"Bloco de pau e corda tradicional, Banhistas do Pina tem certidão de nascimento registrada no dia 3 de fevereiro de 1932. A agremiação foi criada por moradores da comunidade do Bode que, alguns anos antes, haviam formado um grupo de pastoril no bairro,",https://antonioaurel.github.io/data/data-visualization/recife-history-connections/pages/sources.html,validated,Consolidado com conexões originais da Base Ajustada e similares da pesquisa IA para Pernambuco; limitado às 15 primeiras conexões únicas por compatibilidade com a base funcional.
LC-0502,CH-0502,Bar Savoy,Local,Bar/Restaurante,,Pernambuco,Pernambuco,Brasil,,,,,https://antonioaurel.github.io/data/data-visualization/recife-history-connections/pages/sources.html,missing_description,Consolidado com conexões originais da Base Ajustada e similares da pesquisa IA para Pernambuco; limitado às 15 primeiras conexões únicas por compatibilidade com a base funcional.
